movie,recommendations
Crazy people,"Kasanova, Slay, The Mystic River, The Mystic River, The Outsiders, Chef's Table, Move, Belief: The Possession of Janet Moses, Idiotest, Idiotest"
The Tree of Blood,"Heist, The Vault, The Lighthouse of the Orcas, Off Course, Locked Up, Locked Up, Criminal: Spain, Fugitiva, The Least Expected Day: Inside the Movistar Team 2019, The Apostate"
Anjaam,"Trimurti, Chalte Chalte, Chalte Chalte, Chamatkar, Chamatkar, Maya Memsaab, Main Hoon Na, Awara Paagal Deewana, Dedh Ishqiya, Hum Aapke Hain Koun"
Shonar Pahar,"Abby Sen, Bulbbul, Jonaki, Jagga Jasoos, Jalpari: The Desert Mermaid, Shikara, Bhoot, Ankahi Kahaniya, Fida, Sohni Mahiwal"
Mexicanos de Bronce,"The Maus, Héroes, On My Block, Eggnoid: Love & Time Portal, Blue Miracle, An Unremarkable Christmas, The Tree of Blood, El Barco, Criminal: Spain, Fugitiva"
Bucket List,"Hum Aapke Hain Koun, Dedh Ishqiya, Gol Maal, Gol Maal, Gol Maal, Badha, Anjaam, Mujrim, Pyar Ke Do Pal, Haapus"
Naga The Eternal Yogi,"My Birthday Song, Oh! Baby (Malayalam), Comedy High School, Suburra: Blood on Rome, Pretty Guardian Sailor Moon Eternal The Movie, Little Singham: Kaal Ka Badla, The Lake House, First Kiss, A Christmas Prince: The Royal Baby, Slay"
Fate/Grand Order -First Order-,"Fate/Zero, Godzilla Singular Point, Godzilla Singular Point, Godzilla Singular Point, K-On!, K-On!, Grand Designs, JoJo's Bizarre Adventure, Children of the Whales, Children of the Whales"
Lady la vendedora de rosas,"Lady la vendedora de rosas, The Great Heist, El final del paraíso, Sin Senos sí Hay Paraíso, Dad Wanted, Undercover Law, La Reina del Sur, Playing with Fire, La Viuda Negra, Martin Matte: La vie la mort...eh la la..!"
NSU German History X,"My Fuhrer, The Heretics, The Last Word, Rocky IV, Rocky IV, Troy, Troy, Diagnosis, People Just Do Nothing, Mars Attacks!"
Black Money Love,"Leyla and Mecnun, Leyla and Mecnun, 46, Kara Bela, 50M2, Wolf, Wolf, Fatma, Beynelmilel, I'm Glad I Did"
Sintonia,"Sintonia, Love Rosie, Rich in Love, Rich in Love, Crime Time, Between Maybes, Dark Tourist, Dark Tourist, Tremors 3: Back to Perfection, Sweet Tooth"
October Faction,"Into the Forest, Bad Blood, Bad Blood, Tokyo Trial, Tokyo Trial, Miss Rose, Battlefield Recovery, Battlefield Recovery, Dancing Queen, Michelle Buteau: Welcome to Buteaupia"
American Crime,"We Are the Champions, Swiss Army Man, Hemlock Grove, Hemlock Grove, The Perfection, Chris Brown: Welcome to My Life, LEGO Ninjago: Masters of Spinjitzu: Day of the Departed, Johnny Test, The American Barbecue Showdown, Yo-Kai Watch: The Movie"
The Crown,"Downton Abbey, Walking Out, Flowers, The Exception, The Net, Trailer Park Boys: Drunk High and Unemployed: Live in Austin, Rotten, Rotten, Miles Davis: Birth of the Cool, Lovesick"
My Husband Won't Fit,"Fit for Fashion, Master, Reply 1997, Naruto Shippuden : Blood Prison, Record of Grancrest War, Naruto Shippuden the Movie: Blood Prison, Naruto Shippuden the Movie: Blood Prison, Korean Cold Noodle Rhapsody, Korean Cold Noodle Rhapsody, High & Low The Movie 2 / End of Sky"
Herrens veje,"Equinox, What Makes a Psychopath?, Barbie: A Fairy Secret, Shadow and Bone, Democrats, The Healer, House of Cards, House of Cards, Diana: In Her Own Words, Once a Gangster"
Hotel Beau Séjour,"Tabula Rasa, Thieves of the Wood, Thieves of the Wood, 6 Bullets, The Exception, Undercover, Liefling, The Lake House, Jack Whitehall: Christmas with My Father, Breaking Boundaries: The Science Of Our Planet"
Dare to Be Wild,"Rattlesnake, Rattlesnake, The Book of Eli, Monster High: Ghouls Rule, Monster High: Ghouls Rule, Wild Wild Country, Motel Makeover, Genius of the Ancient World, Growing Up Wild, Wild Wild West"
Ken Burns: The Roosevelts: An Intimate History,"Prohibition: A Film by Ken Burns and Lynn Novick, Ken Burns: The Civil War, Ken Jeong: You Complete Me Ho, The River Wild, Julie & Julia, Mine 9, Stay Tuned!, Mary Poppins Returns, Fida, 1 Mile to You"
Shine On with Reese,"Home Again, The Interview, Earth to Echo, 1-Oct, Top 10 Secrets and Mysteries, The Lake House, First Kiss, A Christmas Prince: The Royal Baby, Slay, Phone Swap"
Shikara,"Main Hoon Na, Lucky: No Time for Love, Aashik Awara, Main aurr Mrs. Khanna, Andaz Apna Apna, Don, Chance Pe Dance, Hum Saath-Saath Hain, Shonar Pahar, Jalpari: The Desert Mermaid"
Follow This,"Red Dawn, Life Plan A and B, I Will Follow, Platoon, Peaky Blinders, Peaky Blinders, Fear and Loathing in Las Vegas, Charlie's Angels: Full Throttle, Power Rangers Super Megaforce, Once In A Lifetime Sessions with Nile Rodgers"
Dilan 1991,"Ali & Ratu Ratu Queens, One-Way to Tomorrow, The Sky Is Pink, The Sky Is Pink, Don, Tusk, First Match, Easy Fortune Happy Life, Ripper Street, Omar and Salma 3"
Haseen Dillruba,"Swades, Motu Patlu in the City of Gold, Bhavesh Joshi Superhero, Vir Das: Losing It, Chashme Buddoor, Game Over (Tamil Version), Black Friday, Rooting for Roona, Gurgaon, Gurgaon"
Someone Great,"Haunted, Michelle Buteau: Welcome to Buteaupia, Skin Wars, Gina Yashere: Laughing to America, Gina Yashere: Laughing to America, Halston, 6 Years, 6 Years, While We're Young, Skin Wars: Fresh Paint"
Bright Star,"W.E., Godless, Nowhere Boy, The Piano, The Piano, The English Game, House Party 2, Lovesick, Deep Blue Sea, Deep Blue Sea"
72 Cutest Animals,"72 Dangerous Animals: Latin America, 72 Dangerous Animals: Latin America, 72 Dangerous Animals: Latin America, 72 Dangerous Places to Live, Barely Lethal, Thomas & Friends: Marvelous Machinery: A New Arrival, Billy Graham: An Extraordinary Journey, Deep Undercover Collection, Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese, Puss in Boots"
The Ice Road,"MINDHUNTER, Falling Inn Love, Falling Inn Love, Man with a Plan, Hannibal, Hannibal, Osmosis Jones, 14 Cameras, Little Miss Sumo, Audible"
Haywire,"Jupiter Ascending, Gina Yashere: Laughing to America, Gina Yashere: Laughing to America, Carmen Sandiego, Son of a Gun, Tremors 5:  Bloodline, America: The Motion Picture, Puss in Boots, Sparring, Sparring"
Everything Sucks!,"Bobby Kennedy for President, Legacies, Colin Quinn: Unconstitutional, Colin Quinn: Red State Blue State, The Book of Eli, First Team: Juventus, The Baker and the Beauty, The Baker and the Beauty, My Babysitter's a Vampire, Flowers"
Gollu Aur Pappu,"Vir Das: Losing It, Hasmukh, The Blue Umbrella, Patiala House, Amy, Prince Jai Aur Dumdaar Viru, Senna, Senna, Bulbbul, Shikara"
The Great Gambler,"Panipat - The Great Betrayal, Super Nani, Don, Kota Factory, Ugly, Kabhi Alvida Naa Kehna, Patiala House, Sohni Mahiwal, The Blue Umbrella, Gol Maal"
Inside Man: Most Wanted,"Better Call Saul, Better Call Saul, Better Call Saul, Lila & Eve, Tremors 6: A Cold Day in Hell, Super Nani, Tabula Rasa, Pizza, Inside The Freemasons, Inside the Mind of a Serial Killer"
Once a Gangster,"OCTB, Goodnight DJ 1, 23:59, Accident, Drink Drank Drunk, Weeds on Fire, Weeds on Fire, PILI Fantasy: War of Dragons, Harry & Bunnie, Zaki Chan"
Patriot Act with Hasan Minhaj,"Zaki Chan, The Look of Silence, Al Hayba, The International Player, Hajwala 2: Mysterious Mission, K.O. One Re-act, Act of Vengeance, The Lake House, First Kiss, A Christmas Prince: The Royal Baby"
Atomic Puppet,"LEGO Marvel Super Heroes: Avengers Reassembled!, Diagnosis, Streets of Fire, Austin Powers: The Spy Who Shagged Me, The Heartbreak Kid, The Unicorn, The Unicorn, Planet Hulk, The Baker and the Beauty, The Baker and the Beauty"
Death Can Wait,"Death Can Wait, Death Can Wait, Holy Expectations, The Birth Reborn 3, Cable Girls, Cable Girls, La Viuda Negra, Dad Wanted, The Queen and the Conqueror, The Disaster Artist"
Jagga Jasoos,"Abby Sen, Namastey London, Shonar Pahar, Welcome, Hazaaron Khwaishein Aisi, AK vs AK, Darr Sabko Lagta Hai, Darr Sabko Lagta Hai, Comedy High School, Drishyam"
Jessica Darling's It List,"The Autopsy of Jane Doe, The Autopsy of Jane Doe, Escape from Planet Earth, The Ring, Troy, Troy, Ex-Boyfriend, Ex-Boyfriend, Kath and Kim, Yummy Mummies"
Little Singham: Kaal Ki Tabaahi,"Little Singham: Mahabali, Little Singham: Kaal Ka Badla, Mighty Raju, Little Singham: Legend of Dugabakka, Mighty Little Bheem: Kite Festival, Swami Baba Ramdev: The Untold Story, Sarvam Thaala Mayam (Telugu Version), Chhota Bheem: Dus Pe Dus, Haapus, Little Miss Sumo"
Lunatics,"Chris Brown: Welcome to My Life, Chris Tucker Live, Pasión de Gavilanes, Nature's Weirdest Events, Nature's Weirdest Events, Weird Wonders of the World, Just Friends, The Little Mermaid, Under an Arctic Sky, The IT Crowd"
Russian Doll,"Russian Doll, Love on the Spectrum, Love on the Spectrum, The Super, The Super, Bloodline, Blue Ruin, Diana: In Her Own Words, Reply 1997, The Mars Generation"
The Ingenuity of the Househusband,"The Ingenuity of the Househusband, The Ingenuity of the Househusband, NiNoKuni, Sirius the Jaeger, Sirius the Jaeger, Ghost in the Shell: SAC_2045, ID-0, 7SEEDS, The Lake House, First Kiss"
Doomsday Preppers,"Doomsday Preppers, Haywire, Money for Nothing, Better Call Saul, Better Call Saul, Better Call Saul, War on Everyone, Logan's Run, Highway to Heaven, Highway to Heaven"
Teenage Mutant Ninja Turtles: The Movie,"Kevin James: Never Don't Give Up, 1 Mile to You, Naruto the Movie: Ninja Clash in the Land of Snow, Being Elmo: A Puppeteer's Journey, Transformers Prime, Tip the Mouse, Kingdoms of the Sky, Under the Eiffel Tower, Oggy Oggy, The Spooky Tale of Captain Underpants Hack-a-ween"
NATURE: Natural Born Hustlers,"Earth's Natural Wonders, Nature's Weirdest Events, Nature's Weirdest Events, Nature's Great Events (2009), Nature's Great Events (2009), Kevin James: Never Don't Give Up, India: Nature's Wonderland, India: Nature's Wonderland, Kevin Hart: I'm a Grown Little Man, Kevin Hart: Seriously Funny"
Love Jones,"For Colored Girls, Good Hair, Robozuna, Scandal, Bobby Robson: More Than a Manager, The 100, Diagnosis, Prince of Peoria, Arisan 2, Alien Warfare"
Ingress: The Animation,"Japan Sinks: 2020, Japan Sinks: 2020, Record of Grancrest War, Ghost Pain, Eden, Ghost in the Shell: SAC_2045, Naruto Shippûden the Movie: The Will of Fire, Terrace House: Aloha State, EVANGELION: DEATH (TRUE)², Terrace House: Boys & Girls in the City"
Coven of Sisters,"7 años, Edha, GO! The Unforgettable Party, Haunted: Latin America, Daniel Sloss: Live Shows, Alex Strangelove, Walking Out, U-Turn, Camelia la Texana, El final del paraíso"
The Aerial,"La Viuda Negra, Undercover Law, Alejandro Sanz: What I Was Is What I Am, Club de Cuervos Presents: The Ballad of Hugo Sánchez, Club de Cuervos Presents: The Ballad of Hugo Sánchez, Coco y Raulito: Carrusel de ternura, Playing with Fire, Even the Rain, Someone Has to Die, Death Can Wait"
The Sinner,"Homemade, It Comes at Night, Sweet Virginia, Walking Out, Dragons: Race to the Edge, Dragons: Dawn of the Dragon Racers, Osmosis Jones, L.A.’s Finest, L.A.’s Finest, Carmen Sandiego"
Swiss Army Man,"Lovesick, There Will Be Blood, Daniel Sloss: Live Shows, Tremors 5:  Bloodline, Street Food, Street Food, The Spectacular Now, American Crime, All About Nina, Dolly Parton's Heartstrings"
Kodachrome,"Under an Arctic Sky, The Adderall Diaries, Mine 9, Chappaquiddick, Jungle Beat: The Movie, Full Count, Aunty Donna's Big Ol' House of Fun, Ozark, Ozark, Rotten"
Jaguar,"El Barco, You Cannot Hide, Velvet Colección, Penalty Kick, Off Course, Cathedral of the Sea, Cathedral of the Sea, Cable Girls, Cable Girls, Rica Famosa Latina"
DEATH NOTE,"DEATH NOTE, Planet Hulk, Norm of the North: Family Vacation, LEGO Ninjago: Masters of Spinjitzu: Day of the Departed, Thor: Tales of Asgard, Polly Pocket, OCTB, Soul Eater, Manhunt: Deadly Games, Violet Evergarden: Special"
Homemade,"Stateless, The Sinner, Indiana Jones and the Kingdom of the Crystal Skull, Indiana Jones and the Kingdom of the Crystal Skull, The Twilight Saga: Breaking Dawn: Part 2, Twilight, Off Course, The Talented Mr. Ripley, The Twilight Saga: Eclipse, It Comes at Night"
Megalobox,"Haikyu!!, Kuroko's Basketball, Kuroko's Basketball, Sirius the Jaeger, Sirius the Jaeger, In This Corner of the World, CAROLE & TUESDAY, CAROLE & TUESDAY, Attack on Titan, Hi Score Girl"
Oldsters,"Alejandro Sanz: What I Was Is What I Am, Juana Brava, Someone Has to Die, Legend Quest, The Idhun Chronicles, The Idhun Chronicles, Cathedral of the Sea, Cathedral of the Sea, Falsa identidad, Falsa identidad"
Japanese Style Originator,"Japanese Style Originator, Godzilla, GODZILLA The Planet Eater, Angel Beats!, Angel Beats!, Sailor Moon Crystal, ID-0, Berserk: The Golden Age Arc II - The Battle for Doldrey, Bleach the Movie: Hell Verse, Ghost Whispers"
Attack on Titan,"Kuroko's Basketball, Kuroko's Basketball, Haikyu!!, The Devil Is a Part-Timer!, Violet Evergarden: Special, Violet Evergarden: Special, Godzilla, Black Butler, Black Butler, Beyblade Burst"
Sakho & Mangane,"Sing On! Spain, Sahara, The Assassination of Gianni Versace, K.O. One Re-act, Undercover, Mortal Kombat, Even the Rain, Home for Christmas, Heartbreakers, 5 Star Christmas"
Iron Ladies,"The Bare-Footed Kid, The Perfect Match, A Touch of Green, Days We Stared at the Sun, Love Storm, Love Storm, Love Storm, Revenge of the Green Dragons, Gatao - The Last Stray, The Rational Life"
3 Idiots,"Don, Andaz Apna Apna, Ek Main Aur Ekk Tu, Fida, Main Hoon Na, Bathinda Express, Darna Mana Hai, Super Nani, Made in China, Ram Teri Ganga Maili"
Hellboy,"Crimson Peak, Arrested Development, Puss in Boots, Money for Nothing, The Boy, Doom, V for Vendetta, Another Life, Red Dawn, Indiana Jones and the Kingdom of the Crystal Skull"
The International Player,"This Evening, Destiny, Once Upon a Time, It's Fine, An Egyptian Story, Hajwala 2: Mysterious Mission, The Dealer, Patriot Act with Hasan Minhaj, The Emigrant, Raya and Sakina"
Monster High: New Ghoul at School,"Monster High: Freaky Fusion, Monster High: Great Scarrier Reef, Monster High: Ghouls Rule, Monster High: Ghouls Rule, Glitter Force, LEGO Marvel Super Heroes: Avengers Reassembled!, Marvel's Iron Man & Hulk: Heroes United, Vampire Knight, Jailbirds New Orleans, He-Man and the Masters of the Universe"
Buddha,"Maharakshak: Aryan, Malaal, Tango, Sardar Ka Grandson, Penalty, Beyond All Boundaries, Running Shaadi, Beiimaan Love, Main Hoon Na, Bewafaa"
The Breaker Upperers,"Tabula Rasa, Hannah Gadsby: Douglas, Farce, The Disappearance of Madeleine McCann, Liefling, 6 Bullets, Nurse Jackie, Yaadein, The Box, Maria Bamford: The Special Special Special"
Maria,"Lost Bullet, School Life, Santa's Apprentice, World's Most Wanted, World's Most Wanted, Everything Will Be Fine, Move, One More Time, Beirut Oh Beirut, Beirut Oh Beirut"
The Twilight Saga: Eclipse,"The Twilight Saga: Breaking Dawn: Part 2, Twilight, Homemade, Samson, Mutiny on the Bounty, Mutiny on the Bounty, Dolly Parton's Heartstrings, Prom Night, Cuckoo, The Good Place"
Penalty,"Hazaaron Khwaishein Aisi, Black Friday, Maharakshak: Aryan, Bathinda Express, Little Miss Sumo, Sardar Ka Grandson, Boss, Harry & Bunnie, Udaan, Barsaat"
Golmaal Returns,"Golmaal Returns, Fida, Bewafaa, Mubarakan, Drishyam, Ram Teri Ganga Maili, Welcome, Awara Paagal Deewana, Ek Main Aur Ekk Tu, C Kkompany"
Bobby Robson: More Than a Manager,"The Boy, Bobby Kennedy for President, Robozuna, Talladega Nights: The Ballad of Ricky Bobby, Aliens Stole My Body, Osmosis Jones, Love Now, Be with You, Queer Eye: We're in Japan!, Barsaat"
The Birth Reborn 3,"Miles Davis: Birth of the Cool, Trio and a Bed, Death Can Wait, Death Can Wait, Death Can Wait, Zion, New Gods: Nezha Reborn, The Hows of Us, Asu Mare 2, The Expanding Universe of Ashley Garcia"
Dream Big: Engineering Our World,"Blown Away, The Big Catch, Barbie Big City Big Dreams, Seventh Son, Weird Wonders of the World, Genius of the Ancient World, Gad Elmaleh: American Dream, Diana: 7 Days That Shook the World, The Big Flower Fight, Shiva: The Secret World Of Vedas City"
Ask the Doctor,"Jerry Seinfeld: 23 Hours To Kill, Unchained Fate, Unchained Fate, Unchained Fate, Unfriended, Unfriended, Jo Pil-ho: The Dawning Rage, Oh My Ghost, Doctor Foster, Equinox"
I'm Glad I Did,"One-Way to Tomorrow, Organize Isler, Çok Filim Hareketler Bunlar, Among Family, 46, Omar and Salma 3, Kurt Seyit & Sura, Black Money Love, Another Life, Wolf"
Seventh Son,"Blown Away, Son of a Gun, Dream Big: Engineering Our World, Blue Valentine, Silent Hill: Revelation, Wheels of Fortune, Marriage or Mortgage, Shadow and Bone, Chappaquiddick, Shelter"
The Lovebirds,"Brave New Jersey, Little Evil, The Hummingbird Project, Tenacious D in The Pick of Destiny, The Open House, The Open House, The Innocence Files, The A List, Land Girls, Jurassic World Camp Cretaceous"
Jesus: Countdown to Calvary,"Jack Whitehall: Christmas with My Father, Downton Abbey, Mutiny on the Bounty, Mutiny on the Bounty, Hannibal, Hannibal, Real Steel, Real Steel, The Lake House, First Kiss"
Awara Paagal Deewana,"Welcome, Bewafaa, Anjaam, Boss, Chalte Chalte, Chalte Chalte, Golmaal Returns, Golmaal Returns, Mubarakan, Main Hoon Na"
Trimurti,"Yaadein, Anjaam, Chamatkar, Chamatkar, Ram Teri Ganga Maili, Mubarakan, Patiala House, Ek Main Aur Ekk Tu, Main Hoon Na, Fida"
What's New Scooby-Doo?,"What's New Scooby-Doo?, Jailbirds New Orleans, Tinker Bell and the Legend of the NeverBeast, Transformers Prime, Latte and the Magic Waterstone, Challenger, Challenger, 3Below: Tales of Arcadia, GoodFellas, Kid Cosmic"
Kalakalappu,"Thaandavam, Shiva: Journey to Plunotaria, Shiva: The Secret World Of Vedas City, Gun Runners, Kanavu Variyam, Mersal, Puriyatha Puthir, Abhinetri, Dedh Ishqiya, Trimurti"
Feels Like Ishq,"Feels Like Ishq, Sacred Games, Taj Mahal 1989, The Sky Is Pink, The Sky Is Pink, Lucky: No Time for Love, Lift Like a Girl, Lift Like a Girl, Man Like Mobeen, Hazaaron Khwaishein Aisi"
Aashik Awara,"Hum Saath-Saath Hain, Lucky: No Time for Love, Chance Pe Dance, Hum Aapke Hain Koun, Sacred Games, Main Hoon Na, Darna Mana Hai, Shikara, Sohni Mahiwal, Trimurti"
Liefling,"Tabula Rasa, Jack Whitehall: Christmas with My Father, Wild Wild West, Queer Eye: We're in Japan!, Resort to Love, 6 Bullets, Fate: The Winx Saga - The Afterparty, Van Helsing, Bobby Robson: More Than a Manager, The Breaker Upperers"
Borges,"Borges, Ana e Vitória, Marc Maron: End Times Fun, The Least Expected Day: Inside the Movistar Team 2019, La ley de Herodes, Ainori Love Wagon: African Journey, Ainori Love Wagon: African Journey, Palazuelos mi rey, Good Morning Verônica, P. King Duckling"
Hospital Playlist,"Man to Man, Crash Landing on You, Oh My Ghost, The 8th Night, The K2, One Spring Night, It's Okay to Not Be Okay, It's Okay to Not Be Okay, Beating Again, Beating Again"
Masaba Masaba,"Masaba Masaba, Masaba Masaba, India: Nature's Wonderland, India: Nature's Wonderland, Liar's Dice, Sardar Ka Grandson, Shaitan, Shaitan, The Magicians, Mighty Little Bheem: Kite Festival"
Big Bad Beetleborgs,"The Big Catch, Barbie Big City Big Dreams, Deep Undercover Collection, The Spectacular Now, Bitten, Heavy Rescue: 401, Dream Big: Engineering Our World, The Silence, Bloodline, Listen Up! The Lives of Quincy Jones"
Can't Help Falling in Love,"The Third Party, Bride For Rent, The Hows of Us, She's the One, Love or Money, Love or Money, A Second Chance, Everyday I Love You, Here and There, Falling Inn Love"
Malaal,"Buddha, Mubarakan, Trimurti, Anjaan: Rural Myths, AK vs AK, Little Singham: Mahabali, Motu Patlu Dino Invasion, Swami Baba Ramdev: The Untold Story, Gollu Aur Pappu, Get Smart"
Gurgaon,"Gurgaon, Pizza, Haraamkhor, Mimi, Bhaji In Problem, Barsaat, Barsaat, Gunjan Saxena: The Kargil Girl, Bareilly Ki Barfi, Darna Mana Hai"
Searching for Sugar Man,"Sugar Rush Christmas, Ghosts of Sugar Land, Man to Man, Halston, Comedy Premium League, Comedy Premium League, Mighty Raju, Seoul Searching, You Can Tutu, Zubaan"
Paranoia,"Pawn Stars, Indiana Jones and the Last Crusade, Jaws, Zombieland, The Space Between Us, The Space Between Us, From Dusk Till Dawn, Indiana Jones and the Kingdom of the Crystal Skull, Indiana Jones and the Kingdom of the Crystal Skull, The Adderall Diaries"
Couple of Days,"Crazy Lovely Cool, Catch.er, Catch.er, Diana: 7 Days That Shook the World, The Bridge, 1-Oct, Man Like Mobeen, Not Alone, Heart & Soul, 100 Days My Prince"
Bareilly Ki Barfi,"Mimi, Made in China, Ankahi Kahaniya, Gurgaon, Gurgaon, Panipat - The Great Betrayal, Gunjan Saxena: The Kargil Girl, Ankhon Dekhi, Shaitan, Shaitan"
She's the One,"Everyday I Love You, Bride For Rent, Love or Money, Love or Money, A Second Chance, The Love Affair, Can't Help Falling in Love, A Very Country Christmas, La ley de Herodes, 1994"
The Crystal Calls Making the Dark Crystal: Age of Resistance,"The Crystal Calls Making the Dark Crystal: Age of Resistance, The Dark Crystal: Age of Resistance, The Forest, The Forest, America: The Motion Picture, The Making of Frozen Planet, Sailor Moon Crystal, Age Gap Love, Indiana Jones and the Kingdom of the Crystal Skull, Indiana Jones and the Kingdom of the Crystal Skull"
Cardboard Gangsters,"Food on the Go, Cleverman, Jimmy Carr: The Best of Ultimate Gold Greatest Hits, Riding Faith, The Staircase, Evan Almighty, There Will Be Blood, Outlander, V for Vendetta, Star Wars: Episode VIII: The Last Jedi"
Haven,"Haven, Backcountry, Disenchantment, Legacies, In Defense of a Married Man, Joseph: King of Dreams, A Christmas Prince: The Royal Baby, While We're Young, Trailer Park Boys: Drunk High and Unemployed: Live in Austin, Rebel Without a Cause"
A House of Blocks,"A House of Blocks, The Devil Punisher, The Devil Punisher, Love Storm, Love Storm, Love Storm, The Victims' Game, Be with Me, Be with Me, Life Plan A and B"
Las muñecas de la mafia,"El Cartel, La Viuda Negra, The Last Runway, The Last Runway, The Road to Love, The Road to Love, Pablo Escobar el patrón del mal, Locombianos, Sin Senos sí Hay Paraíso, Camarón Revolution"
Elite Short Stories: Omar Ander Alexis,"Elite Short Stories: Carla Samuel, ChuChuTV Bedtime Stories & Moral Stories for Kids (English), Alexis Viera: A Story of Surviving, Alexis Viera: A Story of Surviving, Unrest, Omar and Salma 3, Crime Diaries: The Candidate, Mosquita y Mari, Mosquita y Mari, Shooter"
Edha,"7 años, Daniel Sloss: Live Shows, Señora Acero, Undercover Law, Millennials, Los Herederos, Ready to Mingle, The Great Heist, El final del paraíso, Héroes"
Hannibal,"Hannibal, The Ice Road, Osmosis Jones, We Are the Champions, The Salvation, Killer Inside: The Mind of Aaron Hernandez, The Open House, The Open House, The Healing Powers of Dude, The Healing Powers of Dude"
No Time for Shame,"Learning Time with Timmy, Sweet Tooth, Sweet Tooth, Ash vs. Evil Dead, Twice Upon A Time, Twice Upon A Time, Rhyme Time Town, One More Time, El Cartel 2, Millennials"
Locked Up,"Locked Up, The Road to Love, The Road to Love, Criminal: Spain, Victim Number 8, The Tree of Blood, Sin senos no hay paraíso, The Laws of Thermodynamics, Holy Camp!, La Viuda Negra"
Z Nation,"Immigration Nation, Legacies, Sam Smith: Love Goes - Live at Abbey Road Studios, Goodnight DJ 1, Rectify, Rectify, Walking Out, The Princess and the Frog, Growing Up Wild, Into the Forest"
Apaches,"Apaches, La Reina del Sur, The World Is Yours, Crime Diaries: The Candidate, Everything Will Be Fine, Taco Chronicles, Dad Wanted, Nacho Libre, Containment, Bad Blood"
My Birthday Song,"Patiala House, THE UNLISTED, THE UNLISTED, Naga The Eternal Yogi, Song Exploder, Love Alarm, Love Alarm, Creep 2, Creep 2, Miss Julie"
Immortals,"Kurt Seyit & Sura, Rise of Empires: Ottoman, Selfless, Sardar Ka Grandson, The Protector, Bathinda Express, Another Life, Sat Sri Akal, Sat Sri Akal, Penalty"
One Spring Night,"The 8th Night, Man to Man, Persona, Cheese in the Trap, Iris, Hospital Playlist, Rugal, Arthdal Chronicles, A Love So Beautiful, Beating Again"
Pokémon the Movie: Power of Us,"Tayo the Little Bus Movie: Mission Ace, Vroomiz, The Lady in Dignity, Ken Jeong: You Complete Me Ho, Pokémon: Mewtwo Strikes Back - Evolution, Stranger, Stranger, Iris, Reply 1997, Yoko"
Another Miss Oh,"Another Miss Oh, Crash Landing on You, Master, Rampant, Mad for Each Other, Racket Boys, Last, My Sassy Girl, Love for Ten: Generation of Youth, Love for Ten: Generation of Youth"
Reply 1997,"The Call, Man to Man, Love for Ten: Generation of Youth, Love for Ten: Generation of Youth, Master, Mad for Each Other, Persona, The Age of Shadows, Beating Again, Beating Again"
YG Future Strategy Office,"Second 20s, Secret Affair, Secret Affair, Immortal Classic, Immortal Classic, Cheese in the Trap, The 8th Night, Save Me, Mystic Pop-up Bar, Svaha: The Sixth Finger"
The Call,"Chris Brown: Welcome to My Life, We Are the Champions, Stretch Armstrong: The Breakout, Riding Faith, Father Brown, Father Brown, Whose Streets?, Queer Eye: We're in Japan!, Chappaquiddick, Dead Set"
Naruto Shippuden: The Movie: The Lost Tower,"Naruto Shippuden: The Movie: The Lost Tower, Naruto Shippuden the Movie: Blood Prison, Naruto Shippuden the Movie: Blood Prison, Naruto Shippuden : Blood Prison, Naruto Shippûden the Movie: The Will of Fire, Naruto Shippûden the Movie: Bonds, Marvel Anime: X-Men, Naruto the Movie: Ninja Clash in the Land of Snow, Naruto the Movie 2: Legend of the Stone of Gelel, Anohana: The Flower We Saw That Day"
Kuroko's Basketball,"Kuroko's Basketball, Attack on Titan, Godzilla, JoJo's Bizarre Adventure, GODZILLA The Planet Eater, Haikyu!!, 7SEEDS, Vampire Knight, In This Corner of the World, Bleach the Movie: Hell Verse"
The Student,"Containment, My Daddy is in Heaven, St. Agatha, St. Agatha, The Mitchells vs. The Machines, MeatEater, Safe, Monty Python's Fliegender Zirkus, Monty Python's Flying Circus, Bokeh"
The Adderall Diaries,"The Ranch, That '70s Show, That '70s Show, That '70s Show, Kodachrome, Ratched, Ratched, Ratched, The Disaster Artist, Zombieland"
The Last Kids on Earth,"Killer Inside: The Mind of Aaron Hernandez, Planet Earth II, Planet Earth II, Planet Earth II, Planet Earth II, Edgar Rice Burroughs' Tarzan and Jane, Edgar Rice Burroughs' Tarzan and Jane, The Bad Kids, Geronimo Stilton, Earth's Natural Wonders"
Voltron: Legendary Defender,"Scream, Spirit Riding Free: Riding Academy, True Grit, True Grit, True Grit, The Lamb, Little Evil, He-Man and the Masters of the Universe, Transformers Prime, Stretch Armstrong: The Breakout"
Zombie Dumb,"Zombie Dumb, Zombie Dumb, Zombie Dumb, The Lake House, First Kiss, A Christmas Prince: The Royal Baby, Slay, Phone Swap, Panipat - The Great Betrayal, 6 Years"
Ugly,"Mubarakan, Super Nani, Kota Factory, Bathinda Express, AK vs AK, The Damned Rain, The Great Gambler, Udaan, The Blue Umbrella, Sardar Ka Grandson"
Jaws 2,"Jaws, Highway to Heaven, Highway to Heaven, The Innocence Files, Rocko's Modern Life: Static Cling, Tremors 3: Back to Perfection, Monty Don's French Gardens, Miss Rose, Bountiful Blessings, Bountiful Blessings"
